Admin2,Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,date
Ada,Idaho,US,43.4526575,-116.24155159999998,11,0,0,0,"Ada, Idaho, US",03/22/2020
Blaine,Idaho,US,43.4085812,-113.9752658,21,0,0,0,"Blaine, Idaho, US",03/22/2020
Nemaha,Nebraska,US,40.38514847,-95.85433992,1,0,0,0,"Nemaha, Nebraska, US",03/22/2020
Adams,Nebraska,US,40.52449420000001,-98.50117804,1,0,0,0,"Adams, Nebraska, US",03/22/2020
Cass,Nebraska,US,40.90899107,-96.13971217,1,0,0,0,"Cass, Nebraska, US",03/22/2020
Buffalo,Nebraska,US,40.85486962,-99.07500296,2,0,0,0,"Buffalo, Nebraska, US",03/22/2020
Broadwater,Montana,US,46.33277565,-111.49558130000001,1,0,0,0,"Broadwater, Montana, US",03/22/2020
Knox,Nebraska,US,42.63758421,-97.89178836,2,0,0,0,"Knox, Nebraska, US",03/22/2020
Roosevelt,Montana,US,48.29607488,-105.00792679999999,1,0,0,0,"Roosevelt, Montana, US",03/22/2020
Ravalli,Montana,US,46.08520862,-114.11891640000002,1,0,0,0,"Ravalli, Montana, US",03/22/2020
Charles Mix,South Dakota,US,43.20660134,-98.58856175,1,0,0,0,"Charles Mix, South Dakota, US",03/22/2020
Pennington,South Dakota,US,44.0025835,-102.8240777,1,1,0,0,"Pennington, South Dakota, US",03/22/2020
Minnehaha,South Dakota,US,43.67441641,-96.7910885,5,0,0,0,"Minnehaha, South Dakota, US",03/22/2020
Beadle,South Dakota,US,44.41464384,-98.27858469,10,0,0,0,"Beadle, South Dakota, US",03/22/2020
Carbon,Wyoming,US,41.69357844,-106.9326084,1,0,0,0,"Carbon, Wyoming, US",03/22/2020
Natrona,Wyoming,US,42.96180148,-106.79788500000001,1,0,0,0,"Natrona, Wyoming, US",03/22/2020
Campbell,Wyoming,US,44.24886082,-105.54744040000001,1,0,0,0,"Campbell, Wyoming, US",03/22/2020
Park,Wyoming,US,44.52157546,-109.58528249999999,1,0,0,0,"Park, Wyoming, US",03/22/2020
Teton,Wyoming,US,43.93522482,-110.5890801,2,0,0,0,"Teton, Wyoming, US",03/22/2020
Sheridan,Wyoming,US,44.79048913,-106.8862389,4,0,0,0,"Sheridan, Wyoming, US",03/22/2020
Laramie,Wyoming,US,41.307025200000005,-104.6887497,6,0,0,0,"Laramie, Wyoming, US",03/22/2020
Fremont,Wyoming,US,43.04183996,-108.6296893,10,0,0,0,"Fremont, Wyoming, US",03/22/2020
Pierce,North Dakota,US,48.24977025,-99.96407787,1,0,0,0,"Pierce, North Dakota, US",03/22/2020
Ramsey,North Dakota,US,48.26886249,-98.72223879,1,0,0,0,"Ramsey, North Dakota, US",03/22/2020
Cass,North Dakota,US,46.93201724,-97.24447190000001,1,0,0,0,"Cass, North Dakota, US",03/22/2020
Ward,North Dakota,US,48.22390169,-101.54367629999999,3,0,0,0,"Ward, North Dakota, US",03/22/2020
Morton,North Dakota,US,46.71681782,-101.2822377,7,0,0,0,"Morton, North Dakota, US",03/22/2020
Burleigh,North Dakota,US,46.97847375,-100.46452140000001,15,0,0,0,"Burleigh, North Dakota, US",03/22/2020
Madison,Montana,US,45.30080065,-111.9173017,1,0,0,0,"Madison, Montana, US",03/22/2020
